,ID,rownum,colnum,LAT,LON
0,0.0,0.0,0.0,34.37988961198383,109.91269121875439
1,1.0,0.0,1.0,34.382939557111825,110.01086513542866
2,2.0,0.0,2.0,34.385904904904734,110.10904666306772
3,3.0,0.0,3.0,34.38878564494362,110.20723558840898
4,4.0,0.0,4.0,34.391581767106295,110.30543169809313
5,5.0,0.0,5.0,34.39429326156752,110.40363477866701
6,6.0,0.0,6.0,34.396920118799045,110.50184461658625
7,7.0,0.0,7.0,34.399462329569594,110.60006099821815
8,8.0,0.0,8.0,34.401919884944995,110.69828370984442
9,9.0,0.0,9.0,34.40429277628831,110.7965125376639
10,10.0,0.0,10.0,34.406580995259816,110.89474726779547
11,11.0,0.0,11.0,34.40878453381704,110.99298768628071
12,12.0,0.0,12.0,34.410903384214905,111.09123357908676
13,13.0,0.0,13.0,34.41293753900578,111.18948473210908
14,14.0,0.0,14.0,34.41488699103947,111.28774093117426
15,15.0,0.0,15.0,34.416751733463286,111.38600196204278
16,16.0,0.0,16.0,34.418531759722164,111.48426761041186
17,17.0,0.0,17.0,34.420227063558606,111.58253766191824
18,18.0,0.0,18.0,34.42183763901286,111.68081190214089
19,19.0,0.0,19.0,34.42336348042277,111.77909011660398
20,20.0,0.0,20.0,34.4248045824241,111.87737209077956
21,21.0,0.0,21.0,34.42616093995029,111.97565761009038
22,22.0,0.0,22.0,34.42743254823264,112.07394645991276
23,23.0,0.0,23.0,34.42861940280034,112.17223842557932
24,24.0,0.0,24.0,34.4297214994805,112.27053329238186
25,25.0,0.0,25.0,34.4307388343981,112.36883084557411
26,26.0,0.0,26.0,34.431671403976154,112.46713087037459
27,27.0,0.0,27.0,34.432519204935616,112.56543315196939
28,28.0,0.0,28.0,34.43328223429548,112.66373747551502
29,29.0,0.0,29.0,34.43396048937282,112.76204362614118
30,30.0,0.0,30.0,34.4345539677827,112.86035138895363
31,31.0,0.0,31.0,34.43506266743822,112.95866054903698
32,32.0,0.0,32.0,34.43548658655073,113.05697089145748
33,33.0,0.0,33.0,34.43582572362952,113.15528220126592
34,34.0,0.0,34.0,34.436080077482096,113.25359426350035
35,35.0,0.0,35.0,34.43624964721402,113.35190686318896
36,36.0,0.0,36.0,34.43633443222909,113.4502197853529
37,37.0,0.0,37.0,34.43633443222909,113.5485328150091
38,38.0,0.0,38.0,34.43624964721402,113.64684573717304
39,39.0,0.0,39.0,34.436080077482096,113.74515833686164
40,40.0,0.0,40.0,34.43582572362952,113.84347039909608
41,41.0,0.0,41.0,34.43548658655073,113.9417817089045
42,42.0,0.0,42.0,34.43506266743822,114.040092051325
43,43.0,0.0,43.0,34.4345539677827,114.13840121140835
44,44.0,0.0,44.0,34.43396048937282,114.2367089742208
45,45.0,0.0,45.0,34.43328223429548,114.33501512484698
46,46.0,0.0,46.0,34.432519204935616,114.43331944839261
47,47.0,0.0,47.0,34.431671403976154,114.53162172998739
48,48.0,0.0,48.0,34.4307388343981,114.62992175478787
49,49.0,0.0,49.0,34.4297214994805,114.72821930798013
50,50.0,1.0,0.0,34.46091351520591,109.90894054840476
51,51.0,1.0,1.0,34.46396687916908,110.00721693609307
52,52.0,1.0,2.0,34.46693555100541,110.10550095862723
53,53.0,1.0,3.0,34.46981952028106,110.20379240207784
54,54.0,1.0,4.0,34.47261877685948,110.3020910524183
55,55.0,1.0,5.0,34.47533331090145,110.40039669552769
56,56.0,1.0,6.0,34.47796311286501,110.49870911719334
57,57.0,1.0,7.0,34.48050817350584,110.59702810311389
58,58.0,1.0,8.0,34.482968483877016,110.69535343890182
59,59.0,1.0,9.0,34.48534403532928,110.7936849100864
60,60.0,1.0,10.0,34.48763481951098,110.89202230211649
61,61.0,1.0,11.0,34.48984082836824,110.99036540036323
62,62.0,1.0,12.0,34.49196205414491,111.08871399012297
63,63.0,1.0,13.0,34.49399848938271,111.18706785661995
64,64.0,1.0,14.0,34.49595012692129,111.28542678500922
65,65.0,1.0,15.0,34.49781695989818,111.38379056037937
66,66.0,1.0,16.0,34.499598981748946,111.48215896775537
67,67.0,1.0,17.0,34.501296186207206,111.5805317921014
68,68.0,1.0,18.0,34.502908567304665,111.67890881832365
69,69.0,1.0,19.0,34.50443611937116,111.7772898312731
