domid,centlon,centlat,xmin,ymin,numx,numy,xstart,ystart
0.0,113.49927932119157,37.398691319562396,-972000.0,-837000.0,72.0,62.0,0.0,0.0
1.0,113.49927932119157,37.398691319562396,-378000.0,-378000.0,60.0,90.0,22.0,17.0
2.0,113.49927932119157,37.398691319562396,-198000.0,-18000.0,63.0,51.0,20.0,40.0
