,id,row,col,LAT,LON
1763,1763.0,27.0,62.0,37.980592775585976,113.3791901495169
1764,1764.0,28.0,0.0,37.98650986732817,111.24978472388449
1765,1765.0,28.0,1.0,37.987152468279184,111.28411682583202
1766,1766.0,28.0,2.0,37.98778518845183,111.3184495186438
1767,1767.0,28.0,3.0,37.988408027595455,111.352782793179
1768,1768.0,28.0,4.0,37.98902098546336,111.3871166402959
1769,1769.0,28.0,5.0,37.9896240618127,111.42145105085181
1770,1770.0,28.0,6.0,37.990217256404534,111.45578601570318
1771,1771.0,28.0,7.0,37.990800569003916,111.49012152570555
1772,1772.0,28.0,8.0,37.99137399937973,111.52445757171357
1773,1773.0,28.0,9.0,37.99193754730484,111.5587941445811
1774,1774.0,28.0,10.0,37.99249121255594,111.59313123516111
1775,1775.0,28.0,11.0,37.99303499491373,111.62746883430573
1776,1776.0,28.0,12.0,37.993568894162735,111.6618069328663
1777,1777.0,28.0,13.0,37.9940929100915,111.69614552169335
1778,1778.0,28.0,14.0,37.99460704249236,111.73048459163665
1779,1779.0,28.0,15.0,37.99511129116168,111.76482413354515
1780,1780.0,28.0,16.0,37.99560565589961,111.7991641382671
1781,1781.0,28.0,17.0,37.99609013651036,111.83350459664999
1782,1782.0,28.0,18.0,37.99656473280194,111.86784549954054
1783,1783.0,28.0,19.0,37.99702944458632,111.90218683778484
1784,1784.0,28.0,20.0,37.99748427167942,111.93652860222822
1785,1785.0,28.0,21.0,37.99792921390099,111.97087078371534
1786,1786.0,28.0,22.0,37.99836427107478,112.00521337309021
1787,1787.0,28.0,23.0,37.998789443028414,112.03955636119619
1788,1788.0,28.0,24.0,37.99920472959343,112.073899738876
1789,1789.0,28.0,25.0,37.99961013060524,112.10824349697168
1790,1790.0,28.0,26.0,38.0000056459033,112.14258762632474
1791,1791.0,28.0,27.0,38.00039127533084,112.17693211777605
1792,1792.0,28.0,28.0,38.000767018735104,112.21127696216593
1793,1793.0,28.0,29.0,38.00113287596717,112.24562215033411
1794,1794.0,28.0,30.0,38.00148884688213,112.27996767311978
1795,1795.0,28.0,31.0,38.00183493133888,112.3143135213616
1796,1796.0,28.0,32.0,38.00217112920038,112.34865968589766
1797,1797.0,28.0,33.0,38.00249744033332,112.38300615756563
1798,1798.0,28.0,34.0,38.002813864608456,112.41735292720263
1799,1799.0,28.0,35.0,38.00312040190041,112.45169998564532
1800,1800.0,28.0,36.0,38.00341705208772,112.48604732372989
1801,1801.0,28.0,37.0,38.00370381505282,112.52039493229206
1802,1802.0,28.0,38.0,38.00398069068212,112.5547428021672
1803,1803.0,28.0,39.0,38.004247678865866,112.58909092419016
1804,1804.0,28.0,40.0,38.004504779498305,112.62343928919543
1805,1805.0,28.0,41.0,38.004751992477544,112.65778788801713
1806,1806.0,28.0,42.0,38.004989317705615,112.69213671148898
1807,1807.0,28.0,43.0,38.005216755088504,112.72648575044437
1808,1808.0,28.0,44.0,38.00543430453607,112.76083499571627
1809,1809.0,28.0,45.0,38.005641965962106,112.79518443813741
1810,1810.0,28.0,46.0,38.00583973928435,112.82953406854016
1811,1811.0,28.0,47.0,38.006027624424426,112.86388387775659
1812,1812.0,28.0,48.0,38.00620562130788,112.8982338566185
1813,1813.0,28.0,49.0,38.00637372986416,112.93258399595739
1814,1814.0,28.0,50.0,38.00653195002667,112.96693428660453
1815,1815.0,28.0,51.0,38.0066802817327,113.00128471939094
1816,1816.0,28.0,52.0,38.00681872492349,113.03563528514738
1817,1817.0,28.0,53.0,38.006947279544185,113.06998597470448
1818,1818.0,28.0,54.0,38.00706594554384,113.10433677889257
1819,1819.0,28.0,55.0,38.0071747228754,113.13868768854188
1820,1820.0,28.0,56.0,38.00727361149582,113.17303869448241
1821,1821.0,28.0,57.0,38.00736261136584,113.20738978754406
1822,1822.0,28.0,58.0,38.00744172245026,113.24174095855652
1823,1823.0,28.0,59.0,38.007510944717716,113.27609219834943
1824,1824.0,28.0,60.0,38.00757027814074,113.31044349775229
1825,1825.0,28.0,61.0,38.00761972269584,113.34479484759449
1826,1826.0,28.0,62.0,38.00765927836345,113.37914623870535
1827,1827.0,29.0,0.0,38.01356862031115,111.24896283323443
1828,1828.0,29.0,1.0,38.01421145357602,111.28330746908884
1829,1829.0,29.0,2.0,38.014844402491,111.31765269645511
1830,1830.0,29.0,3.0,38.01546746680535,111.35199850618245
1831,1831.0,29.0,4.0,38.01608064627222,111.38634488911906
1832,1832.0,29.0,5.0,38.01668394064868,111.42069183611231
