,ID,rownum,colnum,LAT,LON,PM25,SO2,NOx,VOCs,CO,NH3,BC,OC,PMC
41,41.0,0.0,41.0,35.35422441231884,116.50442473796633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,42.0,0.0,42.0,35.34200427297554,116.60440522502411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,43.0,0.0,43.0,35.32970002785832,116.70435468675393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,44.0,0.0,44.0,35.31731171769465,116.8042729248864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,45.0,0.0,45.0,35.30483938348438,116.90415974154183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,46.0,0.0,46.0,35.29228306649948,117.00401493923216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,47.0,0.0,47.0,35.2796428082838,117.10383832086316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,48.0,0.0,48.0,35.26691865065286,117.20362968973642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,49.0,0.0,49.0,35.25411063569343,117.3033888495515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,50.0,0.0,50.0,35.24121880576356,117.40311560440783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,51.0,0.0,51.0,35.228243203491964,117.50280975880695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,52.0,0.0,52.0,35.215183871778066,117.60247111765436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,53.0,0.0,53.0,35.20204085379153,117.70209948626163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,54.0,0.0,54.0,35.18881419297208,117.80169467034831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,55.0,0.0,55.0,35.17550393302923,117.90125647604405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,56.0,0.0,56.0,35.162110117941964,118.00078470989043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,57.0,0.0,57.0,35.14863279195851,118.10027917884297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,58.0,0.0,58.0,35.13507199959603,118.19973969027318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,59.0,0.0,59.0,35.121427785640435,118.29916605197035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,60.0,0.0,60.0,35.10770019514593,118.39855807214357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,61.0,0.0,61.0,35.093889273434975,118.49791555942357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,62.0,0.0,62.0,35.07999506609774,118.59723832286477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,63.0,0.0,63.0,35.06601761899208,118.69652617194694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,64.0,0.0,64.0,35.051956978242984,118.7957789165773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,65.0,0.0,65.0,35.03781319024255,118.89499636709219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,66.0,0.0,66.0,35.0235863016496,118.99417833425906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,67.0,0.0,67.0,35.00927635938922,119.09332462927827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,68.0,0.0,68.0,34.99488341065275,119.19243506378493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,69.0,0.0,69.0,34.98040750289734,119.29150944985061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,70.0,1.0,0.0,35.86437713011304,112.3917412345956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,71.0,1.0,1.0,35.85562777406502,112.49292291539962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,72.0,1.0,2.0,35.84679278973058,112.59408193740379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,73.0,1.0,3.0,35.83787220650496,112.69521808766531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,74.0,1.0,4.0,35.82886605406526,112.79633115353717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,75.0,1.0,5.0,35.81977436237012,112.89742092267056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,76.0,1.0,6.0,35.81059716165951,112.99848718301756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,77.0,1.0,7.0,35.80133448245467,113.09952972283345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,78.0,1.0,8.0,35.791986355557796,113.20054833067945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,79.0,1.0,9.0,35.78255281205185,113.30154279542514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,80.0,1.0,10.0,35.773033883300464,113.40251290625086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,81.0,1.0,11.0,35.7634296009477,113.50345845265036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,82.0,1.0,12.0,35.75373999691773,113.60437922443315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,83.0,1.0,13.0,35.74396510341484,113.70527501172705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,84.0,1.0,14.0,35.73410495292305,113.8061456049806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,85.0,1.0,15.0,35.72415957820606,113.90699079496551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,86.0,1.0,16.0,35.71412901230692,114.0078103727791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,87.0,1.0,17.0,35.70401328854789,114.10860412984678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,88.0,1.0,18.0,35.69381244053026,114.20937185792437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,89.0,1.0,19.0,35.68352650213398,114.31011334910052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,90.0,1.0,20.0,35.67315550751768,114.41082839579923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,91.0,1.0,21.0,35.66269949111826,114.51151679078207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,92.0,1.0,22.0,35.652158487650816,114.61217832715066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,93.0,1.0,23.0,35.6415325321083,114.71281279834898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,94.0,1.0,24.0,35.63082165976142,114.81341999816578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,95.0,1.0,25.0,35.62002590615832,114.91399972073684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,96.0,1.0,26.0,35.609145307124415,115.01455176054736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,97.0,1.0,27.0,35.59817989876213,115.1150759124343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
